,portRet,CompoundAnnualReturn,Min_monthly,Max_monthly,portStdDev_monthly,portVaR,portCVaR,growth_multiplier,wealth_index,peak_wealth_index,drawdown,drawdown_pct
12/30/1994,0.002528188,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0
1/31/1995,0.000325843,NA,NA,NA,NA,NA,NA,1.000325843,1000.325843,1000.325843,0,0
2/28/1995,0.049752138,NA,NA,NA,NA,NA,NA,1.049752138,1050.094192,1050.094192,0,0
3/31/1995,0.030771561,NA,NA,NA,NA,NA,NA,1.030771561,1082.40723,1082.40723,0,0
4/28/1995,0.009112604,NA,NA,NA,NA,NA,NA,1.009112604,1092.270778,1092.270778,0,0
5/31/1995,0.037360467,NA,NA,NA,NA,NA,NA,1.037360467,1133.078524,1133.078524,0,0
6/30/1995,0.015476399,NA,NA,NA,NA,NA,NA,1.015476399,1150.614499,1150.614499,0,0
7/31/1995,0.02207112,NA,NA,NA,NA,NA,NA,1.02207112,1176.00985,1176.00985,0,0
8/31/1995,0.006073474,NA,NA,NA,NA,NA,NA,1.006073474,1183.152316,1183.152316,0,0
9/29/1995,0.03409161,NA,NA,NA,NA,NA,NA,1.03409161,1223.487883,1223.487883,0,0
10/31/1995,-0.021152261,NA,NA,NA,NA,NA,NA,0.978847739,1197.608348,1223.487883,-25.87953461,-0.021152261
11/30/1995,0.045753774,0.255569761,-0.021152261,0.049752138,0.021067851,0.009339304,0.021152261,1.045753774,1252.40345,1252.40345,0,0
12/29/1995,0.02232735,0.2803663,-0.021152261,0.049752138,0.020395494,0.009339304,0.021152261,1.02232735,1280.3663,1280.3663,0,0
1/31/1996,0.032164244,0.321117837,-0.021152261,0.049752138,0.019513805,0.006178106,0.021152261,1.032164244,1321.548314,1321.548314,0,0
2/29/1996,0.00897951,0.269805298,-0.021152261,0.045753774,0.018050583,0.006178106,0.021152261,1.00897951,1333.415169,1333.415169,0,0
3/29/1996,0.020883341,0.257624022,-0.021152261,0.045753774,0.017749924,0.006178106,0.021152261,1.020883341,1361.261333,1361.261333,0,0
4/30/1996,0.01481654,0.264732651,-0.021152261,0.045753774,0.017523489,0.006178106,0.021152261,1.01481654,1381.430517,1381.430517,0,0
5/31/1996,0.01526523,0.237794505,-0.021152261,0.045753774,0.016662143,0.006178106,0.021152261,1.01526523,1402.518371,1402.518371,0,0
6/28/1996,-0.011055682,0.205453759,-0.021152261,0.045753774,0.018675255,0.015599143,0.021152261,0.988944318,1387.012573,1402.518371,-15.5057974,-0.011055682
7/31/1996,-0.039158774,0.13323784,-0.039158774,0.045753774,0.024330005,0.029255192,0.039158774,0.960841226,1332.698862,1402.518371,-69.81950891,-0.049781529
8/30/1996,0.02960769,0.159746702,-0.039158774,0.045753774,0.024861569,0.029255192,0.039158774,1.02960769,1372.156996,1402.518371,-30.36137455,-0.021647755
9/30/1996,0.033587775,0.159181645,-0.039158774,0.045753774,0.024822573,0.029255192,0.039158774,1.033587775,1418.244696,1418.244696,0,0
10/31/1996,0.029531907,0.219203397,-0.039158774,0.045753774,0.022772084,0.023702073,0.039158774,1.029531907,1460.128166,1460.128166,0,0
11/29/1996,0.052590217,0.227173737,-0.039158774,0.052590217,0.023629167,0.023702073,0.039158774,1.052590217,1536.916623,1536.916623,0,0
