,portRet,CompoundAnnualReturn,Min_monthly,Max_monthly,portStdDev_monthly,portVaR,portCVaR,growth_multiplier,wealth_index,peak_wealth_index,drawdown,drawdown_pct
12/30/1994,-0.01414865,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0
1/31/1995,0.01075715,NA,NA,NA,NA,NA,NA,1.01075715,1010.75715,1010.75715,0,0
2/28/1995,0.0141701,NA,NA,NA,NA,NA,NA,1.0141701,1025.07968,1025.07968,0,0
3/31/1995,0.03680655,NA,NA,NA,NA,NA,NA,1.03680655,1062.809326,1062.809326,0,0
4/28/1995,0.0510613,NA,NA,NA,NA,NA,NA,1.0510613,1117.077752,1117.077752,0,0
5/31/1995,0.0428732,NA,NA,NA,NA,NA,NA,1.0428732,1164.97045,1164.97045,0,0
6/30/1995,0.07604415,NA,NA,NA,NA,NA,NA,1.07604415,1253.559638,1253.559638,0,0
7/31/1995,0.05401205,NA,NA,NA,NA,NA,NA,1.05401205,1321.266964,1321.266964,0,0
8/31/1995,0.01304615,NA,NA,NA,NA,NA,NA,1.01304615,1338.504411,1338.504411,0,0
9/29/1995,0.00764365,NA,NA,NA,NA,NA,NA,1.00764365,1348.73547,1348.73547,0,0
10/31/1995,-0.04181285,NA,NA,NA,NA,NA,NA,0.95818715,1292.340996,1348.73547,-56.39447389,-0.04181285
11/30/1995,0.03132685,0.31396828,-0.04181285,0.07604415,0.032133899,0.02659754,0.04181285,1.03132685,1332.825968,1348.73547,-15.90950136,-0.011795865
12/29/1995,-0.04858445,0.268071352,-0.04858445,0.07604415,0.036973118,0.04486007,0.04858445,0.95141555,1268.071352,1348.73547,-80.66411799,-0.059807219
1/31/1996,0.0380882,0.302360223,-0.04858445,0.07604415,0.037152239,0.04486007,0.04858445,1.0380882,1316.369907,1348.73547,-32.36556272,-0.023996969
2/29/1996,0.0505506,0.349078733,-0.04858445,0.07604415,0.037853768,0.04486007,0.04858445,1.0505506,1382.913196,1382.913196,0,0
3/29/1996,0.0154537,0.321294692,-0.04858445,0.07604415,0.037797392,0.04486007,0.04858445,1.0154537,1404.284321,1404.284321,0,0
4/30/1996,0.0814972,0.359555822,-0.04858445,0.0814972,0.040679293,0.04486007,0.04858445,1.0814972,1518.729562,1518.729562,0,0
5/31/1996,0.0220631,0.332426452,-0.04858445,0.0814972,0.040368514,0.04486007,0.04858445,1.0220631,1552.237444,1552.237444,0,0
6/28/1996,-0.02423105,0.208259308,-0.04858445,0.0814972,0.039190474,0.04486007,0.04858445,0.97576895,1514.625101,1552.237444,-37.61234311,-0.02423105
7/31/1996,-0.06972635,0.066412663,-0.06972635,0.0814972,0.044383087,0.058098305,0.06972635,0.93027365,1409.015821,1552.237444,-143.221623,-0.092267857
8/30/1996,0.051218,0.106595377,-0.06972635,0.0814972,0.046241411,0.058098305,0.06972635,1.051218,1481.182793,1552.237444,-71.05465069,-0.045775632
9/30/1996,0.1145738,0.224026187,-0.06972635,0.1145738,0.055279717,0.058098305,0.06972635,1.1145738,1650.887534,1650.887534,0,0
10/31/1996,0.03259265,0.319074717,-0.06972635,0.1145738,0.051990879,0.058098305,0.06972635,1.03259265,1704.694334,1704.694334,0,0
