,portRet,CompoundAnnualReturn,Min_monthly,Max_monthly,portStdDev_monthly,portVaR,portCVaR,growth_multiplier,wealth_index,peak_wealth_index,drawdown,drawdown_pct
12/30/1994,-0.00314765,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0
1/31/1995,0.0379755,NA,NA,NA,NA,NA,NA,1.0379755,1037.9755,1037.9755,0,0
2/28/1995,0.00551525,NA,NA,NA,NA,NA,NA,1.00551525,1043.700194,1043.700194,0,0
3/31/1995,0.036921325,NA,NA,NA,NA,NA,NA,1.036921325,1082.234988,1082.234988,0,0
4/28/1995,0.039308675,NA,NA,NA,NA,NA,NA,1.039308675,1124.776212,1124.776212,0,0
5/31/1995,0.04252065,NA,NA,NA,NA,NA,NA,1.04252065,1172.602428,1172.602428,0,0
6/30/1995,0.09281065,NA,NA,NA,NA,NA,NA,1.09281065,1281.432421,1281.432421,0,0
7/31/1995,0.0675174,NA,NA,NA,NA,NA,NA,1.0675174,1367.951406,1367.951406,0,0
8/31/1995,0.022983475,NA,NA,NA,NA,NA,NA,1.022983475,1399.391683,1399.391683,0,0
9/29/1995,0.021759325,NA,NA,NA,NA,NA,NA,1.021759325,1429.841502,1429.841502,0,0
10/31/1995,-0.0504651,NA,NA,NA,NA,NA,NA,0.9495349,1357.684407,1429.841502,-72.15709437,-0.0504651
11/30/1995,0.025811425,0.388344356,-0.0504651,0.09281065,0.035650153,0.024440503,0.0504651,1.025811425,1392.728177,1429.841502,-37.11332512,-0.025956251
12/29/1995,-0.0775804,0.284679768,-0.0775804,0.09281065,0.046455434,0.062666985,0.0775804,0.9224196,1284.679768,1429.841502,-145.1617341,-0.101522955
1/31/1996,0.011562825,0.251989373,-0.0775804,0.09281065,0.046259652,0.062666985,0.0775804,1.011562825,1299.534295,1429.841502,-130.3072068,-0.091134022
2/29/1996,0.055330275,0.314015167,-0.0775804,0.09281065,0.047080409,0.062666985,0.0775804,1.055330275,1371.437885,1429.841502,-58.40361691,-0.040846217
3/29/1996,0.01715405,0.288965533,-0.0775804,0.09281065,0.046934327,0.062666985,0.0775804,1.01715405,1394.963599,1429.841502,-34.87790286,-0.024392846
4/30/1996,0.101285425,0.365829988,-0.0775804,0.101285425,0.05209166,0.062666985,0.0775804,1.101285425,1536.25308,1536.25308,0,0
5/31/1996,0.015085175,0.329886149,-0.0775804,0.101285425,0.051977171,0.062666985,0.0775804,1.015085175,1559.427726,1559.427726,0,0
6/28/1996,-0.03864235,0.169915596,-0.0775804,0.101285425,0.050273132,0.062666985,0.0775804,0.96135765,1499.167774,1559.427726,-60.259952,-0.03864235
7/31/1996,-0.06968095,0.019556933,-0.0775804,0.101285425,0.052620396,0.073235703,0.0775804,0.93031905,1394.70434,1559.427726,-164.7233867,-0.105630664
8/30/1996,0.0555122,0.051976701,-0.0775804,0.101285425,0.054552356,0.073235703,0.0775804,1.0555122,1472.127446,1559.427726,-87.30028049,-0.055982255
9/30/1996,0.123139475,0.156355054,-0.0775804,0.123139475,0.06426834,0.073235703,0.0775804,1.123139475,1653.404447,1653.404447,0,0
10/31/1996,-0.00060675,0.217073154,-0.0775804,0.123139475,0.061260111,0.073235703,0.0775804,0.99939325,1652.401244,1653.404447,-1.003203148,-0.00060675
11/29/1996,0.145539,0.359123841,-0.0775804,0.145539,0.071505965,0.073235703,0.0775804,1.145539,1892.890068,1892.890068,0,0
12/31/1996,-0.050420425,0.399142255,-0.06968095,0.145539,0.068208042,0.059087661,0.06968095,0.949579575,1797.449746,1892.890068,-95.44032172,-0.050420425
1/31/1997,0.106569575,0.530550759,-0.06968095,0.145539,0.071263423,0.059087661,0.06968095,1.106569575,1989.003202,1989.003202,0,0
2/28/1997,-0.06970335,0.34921387,-0.06970335,0.145539,0.077429729,0.06969103,0.06970335,0.93029665,1850.363016,1989.003202,-138.6401863,-0.06970335
3/31/1997,-0.030856275,0.285530108,-0.06970335,0.145539,0.079256306,0.06969103,0.06970335,0.969143725,1793.267706,1989.003202,-195.7354964,-0.098408839
4/30/1997,0.020243475,0.190929867,-0.06970335,0.145539,0.075426313,0.06969103,0.06970335,1.020243475,1829.569676,1989.003202,-159.4335264,-0.080157501
5/30/1997,0.218693025,0.429809003,-0.06970335,0.218693025,0.095216599,0.06969103,0.06970335,1.218693025,2229.683802,2229.683802,0,0
6/30/1997,-0.02362505,0.452143948,-0.06970335,0.218693025,0.094266874,0.06969103,0.06970335,0.97637495,2177.007411,2229.683802,-52.67639132,-0.02362505
7/31/1997,0.212024,0.891859913,-0.06970335,0.218693025,0.100584377,0.059097741,0.06970335,1.212024,2638.58523,2638.58523,0,0
8/29/1997,-0.0044971,0.784301526,-0.06970335,0.218693025,0.102244847,0.059097741,0.06970335,0.9955029,2626.719249,2638.58523,-11.86598164,-0.0044971
9/30/1997,0.00490925,0.596472343,-0.06970335,0.218693025,0.100647585,0.059097741,0.06970335,1.00490925,2639.61447,2639.61447,0,0
10/31/1997,-0.125367375,0.397174531,-0.125367375,0.218693025,0.111532036,0.094752161,0.125367375,0.874632625,2308.692933,2639.61447,-330.9215371,-0.125367375
11/28/1997,-0.0290277,0.184261529,-0.125367375,0.218693025,0.106896193,0.094752161,0.125367375,0.9709723,2241.676887,2639.61447,-397.937583,-0.150755948
12/31/1997,-0.0086684,0.236332276,-0.125367375,0.218693025,0.105092719,0.094752161,0.125367375,0.9913316,2222.245135,2639.61447,-417.3693349,-0.158117536
1/30/1998,-0.0121927,0.103643254,-0.125367375,0.218693025,0.102008704,0.094752161,0.125367375,0.9878073,2195.149967,2639.61447,-444.4645032,-0.168382356
2/27/1998,0.094019725,0.29787363,-0.125367375,0.218693025,0.100934327,0.07338627,0.125367375,1.094019725,2401.537363,2639.61447,-238.077107,-0.090193894
3/31/1998,-0.022893475,0.308537381,-0.125367375,0.218693025,0.100549818,0.072380554,0.125367375,0.977106525,2346.557828,2639.61447,-293.0566425,-0.111022517
4/30/1998,0.05239465,0.349773631,-0.125367375,0.218693025,0.100782425,0.072380554,0.125367375,1.05239465,2469.504904,2639.61447,-170.1095665,-0.064444853
5/29/1998,-0.07485965,0.024646916,-0.125367375,0.212024,0.085136494,0.097588126,0.125367375,0.92514035,2284.638631,2639.61447,-354.9758392,-0.134480184
6/30/1998,-0.010715725,0.038194478,-0.125367375,0.212024,0.084820336,0.097588126,0.125367375,0.989284275,2260.157072,2639.61447,-379.4573985,-0.143754856
7/31/1998,-0.02041115,-0.160904624,-0.125367375,0.094019725,0.054780511,0.097588126,0.125367375,0.97958885,2214.024667,2639.61447,-425.5898035,-0.161231804
8/31/1998,-0.15895335,-0.291093622,-0.15895335,0.094019725,0.068899304,0.140481064,0.15895335,0.84104665,1862.098029,2639.61447,-777.5164413,-0.294556819
9/30/1998,0.137834025,-0.197322746,-0.15895335,0.137834025,0.083463034,0.140481064,0.15895335,1.137834025,2118.758495,2639.61447,-520.855975,-0.197322746
10/30/1998,0.067094525,-0.020694542,-0.15895335,0.137834025,0.078660051,0.112701815,0.15895335,1.067094525,2260.91559,2639.61447,-378.6988802,-0.143467497
