,portRet,CompoundAnnualReturn,Min_monthly,Max_monthly,portStdDev_monthly,portVaR,portCVaR,growth_multiplier,wealth_index,peak_wealth_index,drawdown,drawdown_pct
12/30/1994,-0.07352,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0
1/31/1995,0.109091,NA,NA,NA,NA,NA,NA,1.109091,1109.091,1109.091,0,0
2/28/1995,-0.060109,NA,NA,NA,NA,NA,NA,0.939891,1042.424649,1109.091,-66.66635092,-0.060109
3/31/1995,0.12963,NA,NA,NA,NA,NA,NA,1.12963,1177.554156,1177.554156,0,0
4/28/1995,0.045902,NA,NA,NA,NA,NA,NA,1.045902,1231.606247,1231.606247,0,0
5/31/1995,0.097179,NA,NA,NA,NA,NA,NA,1.097179,1351.292511,1351.292511,0,0
6/30/1995,0.155714,NA,NA,NA,NA,NA,NA,1.155714,1561.707673,1561.707673,0,0
7/31/1995,0.102596,NA,NA,NA,NA,NA,NA,1.102596,1721.932633,1721.932633,0,0
8/31/1995,0.17713,NA,NA,NA,NA,NA,NA,1.17713,2026.93856,2026.93856,0,0
9/29/1995,0.051429,NA,NA,NA,NA,NA,NA,1.051429,2131.181984,2131.181984,0,0
10/31/1995,0.123188,NA,NA,NA,NA,NA,NA,1.123188,2393.71803,2393.71803,0,0
11/30/1995,-0.229787,0.708125925,-0.229787,0.17713,0.117987756,0.14384015,0.229787,0.770213,1843.672745,2393.71803,-550.0452849,-0.229787
12/29/1995,-0.112927,0.635472313,-0.229787,0.17713,0.122280465,0.165514,0.229787,0.887073,1635.472313,2393.71803,-758.245717,-0.316764843
1/31/1996,0.115578,0.645038082,-0.229787,0.17713,0.122583815,0.165514,0.229787,1.115578,1824.496932,2393.71803,-569.221098,-0.237797891
2/29/1996,0.141141,0.99727458,-0.229787,0.17713,0.119944091,0.165514,0.229787,1.141141,2082.008253,2393.71803,-311.7097766,-0.130219923
3/29/1996,-0.023684,0.726203384,-0.229787,0.17713,0.120758991,0.165514,0.229787,0.976316,2032.69797,2393.71803,-361.02006,-0.150819794
4/30/1996,0.118598,0.84618411,-0.229787,0.17713,0.122151926,0.165514,0.229787,1.118598,2273.771884,2393.71803,-119.9461462,-0.05010872
5/31/1996,0.055422,0.77592109,-0.229787,0.17713,0.121579992,0.165514,0.229787,1.055422,2399.788869,2399.788869,0,0
6/28/1996,0.036822,0.593226401,-0.229787,0.17713,0.117509431,0.165514,0.229787,1.036822,2488.153895,2488.153895,0,0
7/31/1996,-0.106542,0.291026699,-0.229787,0.17713,0.123743282,0.165514,0.229787,0.893458,2223.061002,2488.153895,-265.0928923,-0.106542
8/30/1996,0.060669,0.16329717,-0.229787,0.141141,0.115339375,0.165514,0.229787,1.060669,2357.93189,2488.153895,-130.2220043,-0.052336797
9/30/1996,0.114398,0.232965839,-0.229787,0.141141,0.118334497,0.165514,0.229787,1.114398,2627.674583,2627.674583,0,0
10/31/1996,0.125911,0.235954979,-0.229787,0.141141,0.118543566,0.165514,0.229787,1.125911,2958.527717,2958.527717,0,0
11/29/1996,-0.066079,0.498655969,-0.112927,0.141141,0.093343957,0.10941525,0.112927,0.933921,2763.031164,2958.527717,-195.496553,-0.066079
12/31/1996,-0.023295,0.65008379,-0.106542,0.141141,0.083177391,0.08428735,0.106542,0.976705,2698.666353,2958.527717,-259.861364,-0.08783469
1/31/1997,-0.085179,0.353138286,-0.106542,0.141141,0.087909592,0.09479235,0.106542,0.914821,2468.796652,2958.527717,-489.7310653,-0.165532019
2/28/1997,-0.50675,-0.415115696,-0.50675,0.125911,0.17175589,0.2866356,0.50675,0.49325,1217.733949,2958.527717,-1740.793769,-0.588398668
3/31/1997,-0.094044,-0.457266454,-0.50675,0.125911,0.172904901,0.2866356,0.50675,0.905956,1103.213377,2958.527717,-1855.31434,-0.627107304
4/30/1997,0.103806,-0.464443397,-0.50675,0.125911,0.171791834,0.2866356,0.50675,1.103806,1217.733545,2958.527717,-1740.794172,-0.588398805
