"","portRet","turnover","CompoundAnnualReturn","Min_monthly","Max_monthly","portStdDev_monthly","portVaR","portCVaR","growth_multiplier","wealth_index","peak_wealth_index","drawdown","drawdown_pct","monthly_Rf","portSR","monthly_Rm","Rp_minus_Rm","portIR","portBeta","portTR"
"1994-12-30",-0.032466326,0,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0,0.00443,NA,0.014955,-0.047421326,NA,NA,NA
"1995-01-31",0.007520546,0.235,NA,NA,NA,NA,NA,NA,1.007520546,1007.520546,1007.520546,0,0,0.004156,NA,0.026,-0.018479454,NA,NA,NA
"1995-02-28",0.030962236,0.192,NA,NA,NA,NA,NA,NA,1.030962236,1038.7156349201,1038.7156349201,0,0,0.003983,NA,0.039228,-0.008265764,NA,NA,NA
"1995-03-31",0.048732166,0.234,NA,NA,NA,NA,NA,NA,1.048732166,1089.33449766782,1089.33449766782,0,0,0.004134,NA,0.029334,0.019398166,NA,NA,NA
"1995-04-28",0.00518034600000001,0.154,NA,NA,NA,NA,NA,NA,1.005180346,1094.97762727548,1094.97762727548,0,0,0.00445,NA,0.029395,-0.024214654,NA,NA,NA
"1995-05-31",0.04011365,0.218,NA,NA,NA,NA,NA,NA,1.04011365,1138.90117657384,1138.90117657384,0,0,0.005355,NA,0.039809,0.000304650000000004,NA,NA,NA
"1995-06-30",0.117361276,0.196,NA,NA,NA,NA,NA,NA,1.117361276,1272.56407189444,1272.56407189444,0,0,0.004714,NA,0.024155,0.093206276,NA,NA,NA
"1995-07-31",0.079462168,0.133,NA,NA,NA,NA,NA,NA,1.079462168,1373.68477196608,1373.68477196608,0,0,0.004522,NA,0.033405,0.046057168,NA,NA,NA
"1995-08-31",0.050514474,0.144,NA,NA,NA,NA,NA,NA,1.050514474,1443.07573566376,1443.07573566376,0,0,0.004637,NA,0.003502,0.047012474,NA,NA,NA
"1995-09-29",0.0224574,0.172,NA,NA,NA,NA,NA,NA,1.0224574,1475.48346468986,1475.48346468986,0,0,0.004309,NA,0.042102,-0.0196446,NA,NA,NA
"1995-10-31",-0.053902554,0.148,NA,NA,NA,NA,NA,NA,0.946097446,1395.9511375583,1475.48346468986,-79.5323271315519,-0.0539025539999999,0.004714,NA,-0.003442,-0.050460554,NA,NA,NA
"1995-11-30",-0.017882964,0.218,0.326476469956446,-0.053902554,0.117361276,0.0477172989249524,0.0421126286,0.053902554,0.982117036,1370.98739361959,1475.48346468986,-104.496071070266,-0.0708215805673099,0.004108,0.42706457879598,0.044179,-0.062061964,-0.0444169607989139,NA,NA
