,portRet,CompoundAnnualReturn,Min_monthly,Max_monthly,portStdDev_monthly,portVaR,portCVaR,growth_multiplier,wealth_index,peak_wealth_index,drawdown,drawdown_pct
12/30/1994,-0.005093235,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0
1/31/1995,0.012429783,NA,NA,NA,NA,NA,NA,1.012429783,1012.429783,1012.429783,0,0
2/28/1995,0.031914398,NA,NA,NA,NA,NA,NA,1.031914398,1044.740869,1044.740869,0,0
3/31/1995,0.037730168,NA,NA,NA,NA,NA,NA,1.037730168,1084.159117,1084.159117,0,0
4/28/1995,0.023316035,NA,NA,NA,NA,NA,NA,1.023316035,1109.437409,1109.437409,0,0
5/31/1995,0.02509894,NA,NA,NA,NA,NA,NA,1.02509894,1137.283112,1137.283112,0,0
6/30/1995,0.063759895,NA,NA,NA,NA,NA,NA,1.063759895,1209.796164,1209.796164,0,0
7/31/1995,0.055441408,NA,NA,NA,NA,NA,NA,1.055441408,1276.868966,1276.868966,0,0
8/31/1995,0.010197298,NA,NA,NA,NA,NA,NA,1.010197298,1289.889578,1289.889578,0,0
9/29/1995,0.01528785,NA,NA,NA,NA,NA,NA,1.01528785,1309.609217,1309.609217,0,0
10/31/1995,-0.031251708,NA,NA,NA,NA,NA,NA,0.968748293,1268.681693,1309.609217,-40.92752419,-0.031251707
11/30/1995,0.04724535,0.321854024,-0.031251708,0.063759895,0.026391689,0.016864548,0.031251708,1.04724535,1328.621003,1328.621003,0,0
12/29/1995,-0.02217513,0.29915866,-0.031251708,0.063759895,0.028472741,0.02625959,0.031251708,0.97782487,1299.15866,1328.621003,-29.46234347,-0.02217513
1/31/1996,0.035546428,0.328822139,-0.031251708,0.063759895,0.028517634,0.02625959,0.031251708,1.035546428,1345.339109,1345.339109,0,0
2/29/1996,0.022095913,0.316178629,-0.031251708,0.063759895,0.028421329,0.02625959,0.031251708,1.022095913,1375.065604,1375.065604,0,0
3/29/1996,0.019256443,0.29274795,-0.031251708,0.063759895,0.028080181,0.02625959,0.031251708,1.019256443,1401.544476,1401.544476,0,0
4/30/1996,0.059175698,0.338049209,-0.031251708,0.063759895,0.030072165,0.02625959,0.031251708,1.059175698,1484.481848,1484.481848,0,0
5/31/1996,0.029480078,0.343767855,-0.031251708,0.063759895,0.030100412,0.02625959,0.031251708,1.029480078,1528.244488,1528.244488,0,0
6/28/1996,-0.0317305,0.223142022,-0.0317305,0.059175698,0.03160429,0.031467164,0.0317305,0.9682695,1479.752526,1528.244488,-48.49196172,-0.0317305
7/31/1996,-0.060669298,0.088582319,-0.060669298,0.059175698,0.03631537,0.044752959,0.060669298,0.939330703,1389.97698,1528.244488,-138.267508,-0.09047473
8/30/1996,0.03845725,0.119035068,-0.060669298,0.059175698,0.03739204,0.044752959,0.060669298,1.03845725,1443.431672,1528.244488,-84.81281574,-0.05549689
9/30/1996,0.085188043,0.196078014,-0.060669298,0.085188043,0.043264045,0.044752959,0.060669298,1.085188043,1566.394791,1566.394791,0,0
10/31/1996,0.014770795,0.252900311,-0.060669298,0.085188043,0.040667645,0.044752959,0.060669298,1.014770795,1589.531687,1589.531687,0,0
11/29/1996,0.10072167,0.316878153,-0.060669298,0.10072167,0.046473587,0.044752959,0.060669298,1.10072167,1749.631973,1749.631973,0,0
12/31/1996,-0.028800483,0.30795551,-0.060669298,0.10072167,0.047109317,0.044752959,0.060669298,0.971199518,1699.241728,1749.631973,-50.39024502,-0.028800482
1/31/1997,0.08298838,0.367877462,-0.060669298,0.10072167,0.050096777,0.044752959,0.060669298,1.08298838,1840.259046,1840.259046,0,0
2/28/1997,-0.025177078,0.304611719,-0.060669298,0.10072167,0.052373968,0.044752959,0.060669298,0.974822923,1793.926702,1840.259046,-46.33234463,-0.025177077
3/31/1997,-0.035362595,0.234701308,-0.060669298,0.10072167,0.055092214,0.046750611,0.060669298,0.964637405,1730.488798,1840.259046,-109.770248,-0.059649346
4/30/1997,0.035299915,0.206868853,-0.060669298,0.10072167,0.053931704,0.046750611,0.060669298,1.035299915,1791.574906,1840.259046,-48.68414055,-0.026455048
5/30/1997,0.107988313,0.298904771,-0.060669298,0.107988313,0.059991778,0.046750611,0.060669298,1.107988313,1985.044057,1985.044057,0,0
6/30/1997,0.028193413,0.37929092,-0.060669298,0.107988313,0.057401937,0.046750611,0.060669298,1.028193413,2041.009222,2041.009222,0,0
7/31/1997,0.118644675,0.642591303,-0.035362595,0.118644675,0.055343949,0.031753433,0.035362595,1.118644675,2283.164098,2283.164098,0,0
8/29/1997,-0.022999633,0.545381196,-0.035362595,0.118644675,0.058607981,0.031753433,0.035362595,0.977000368,2230.652163,2283.164098,-52.5119352,-0.022999633
9/30/1997,0.04079494,0.482162414,-0.035362595,0.118644675,0.056761931,0.031753433,0.035362595,1.04079494,2321.651484,2321.651484,0,0
10/31/1997,-0.08121956,0.341960019,-0.08121956,0.118644675,0.06586764,0.055998229,0.08121956,0.91878044,2133.087972,2321.651484,-188.563512,-0.08121956
11/28/1997,0.007605775,0.22843649,-0.08121956,0.118644675,0.061715821,0.055998229,0.08121956,1.007605775,2149.311759,2321.651484,-172.3397249,-0.074231523
12/31/1997,0.004468488,0.270517253,-0.08121956,0.118644675,0.060099581,0.055998229,0.08121956,1.004468488,2158.915932,2321.651484,-162.7355521,-0.070094738
1/30/1998,0.009042333,0.183766803,-0.08121956,0.118644675,0.056960917,0.055998229,0.08121956,1.009042333,2178.437568,2321.651484,-143.2139164,-0.061686225
2/27/1998,0.084284963,0.316690974,-0.08121956,0.118644675,0.058577784,0.055998229,0.08121956,1.084284963,2362.047097,2362.047097,0,0
3/31/1998,0.021536653,0.394356142,-0.08121956,0.118644675,0.055493152,0.0491986,0.08121956,1.021536653,2412.917684,2412.917684,0,0
4/30/1998,0.031843545,0.389701055,-0.08121956,0.118644675,0.055469106,0.0491986,0.08121956,1.031843545,2489.753537,2489.753537,0,0
5/29/1998,-0.04618591,0.196327102,-0.08121956,0.118644675,0.053371865,0.061951053,0.08121956,0.95381409,2374.762004,2489.753537,-114.9915328,-0.04618591
6/30/1998,-0.003389395,0.159579767,-0.08121956,0.118644675,0.053512419,0.061951053,0.08121956,0.996610605,2366.712998,2489.753537,-123.0405392,-0.049418763
7/31/1998,-0.009932892,0.0262971,-0.08121956,0.084284963,0.042284094,0.061951053,0.08121956,0.990067108,2343.204692,2489.753537,-146.548845,-0.058860784
8/31/1998,-0.171142828,-0.129320991,-0.171142828,0.084284963,0.065702184,0.12168503,0.171142828,0.828857173,1942.182015,2489.753537,-547.5715214,-0.21993001
9/30/1998,0.084133425,-0.093066098,-0.171142828,0.084284963,0.069774534,0.12168503,0.171142828,1.084133425,2105.58444,2489.753537,-384.1690965,-0.15430005
10/30/1998,0.071258693,0.057446136,-0.171142828,0.084284963,0.068655546,0.102416523,0.171142828,1.071258693,2255.625635,2489.753537,-234.1279023,-0.094036578
11/30/1998,0.059706435,0.112123911,-0.171142828,0.084284963,0.070327133,0.102416523,0.171142828,1.059706435,2390.301,2489.753537,-99.45253695,-0.039944732
12/31/1998,0.067332575,0.181725552,-0.171142828,0.084284963,0.072091086,0.102416523,0.171142828,1.067332575,2551.246121,2551.246121,0,0
1/29/1999,0.025318038,0.200786612,-0.171142828,0.084284963,0.072090294,0.102416523,0.171142828,1.025318038,2615.838666,2615.838666,0,0
2/26/1999,-0.0539058,0.04774786,-0.171142828,0.084133425,0.071556709,0.106662462,0.171142828,0.9460942,2474.82979,2615.838666,-141.008876,-0.0539058
3/31/1999,0.031060793,0.057516376,-0.171142828,0.084133425,0.071792521,0.106662462,0.171142828,1.031060793,2551.699965,2615.838666,-64.13870139,-0.024519364
4/30/1999,0.028456923,0.054045493,-0.171142828,0.084133425,0.071693319,0.106662462,0.171142828,1.028456923,2624.313493,2624.313493,0,0
5/28/1999,0.00543304,0.111088812,-0.171142828,0.084133425,0.069741094,0.106662462,0.171142828,1.00543304,2638.571493,2638.571493,0,0
6/30/1999,0.054831237,0.175997105,-0.171142828,0.084133425,0.070653492,0.106662462,0.171142828,1.054831238,2783.247633,2783.247633,0,0
7/30/1999,-0.033555935,0.147937765,-0.171142828,0.084133425,0.071763507,0.106662462,0.171142828,0.966444065,2689.853157,2783.247633,-93.39447668,-0.033555935
