,portRet,CompoundAnnualReturn,Min_monthly,Max_monthly,portStdDev_monthly,portVaR,portCVaR,growth_multiplier,wealth_index,peak_wealth_index,drawdown,drawdown_pct
12/30/1994,0.017073925,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0
1/31/1995,0.014062439,NA,NA,NA,NA,NA,NA,1.014062439,1014.062439,1014.062439,0,0
2/28/1995,0.044224691,NA,NA,NA,NA,NA,NA,1.044224691,1058.909037,1058.909037,0,0
3/31/1995,0.032740774,NA,NA,NA,NA,NA,NA,1.032740774,1093.578538,1093.578538,0,0
4/28/1995,0.008525343,NA,NA,NA,NA,NA,NA,1.008525343,1102.901671,1102.901671,0,0
5/31/1995,0.027517621,NA,NA,NA,NA,NA,NA,1.027517621,1133.250901,1133.250901,0,0
6/30/1995,0.019305508,NA,NA,NA,NA,NA,NA,1.019305508,1155.128885,1155.128885,0,0
7/31/1995,0.030001841,NA,NA,NA,NA,NA,NA,1.030001841,1189.784878,1189.784878,0,0
8/31/1995,0.00315674,NA,NA,NA,NA,NA,NA,1.00315674,1193.540719,1193.540719,0,0
9/29/1995,0.032146293,NA,NA,NA,NA,NA,NA,1.032146293,1231.908629,1231.908629,0,0
10/31/1995,-0.01866359,NA,NA,NA,NA,NA,NA,0.98133641,1208.916791,1231.908629,-22.99183811,-0.01866359
11/30/1995,0.047153422,0.2875356,-0.01866359,0.047153422,0.018390482,0.006662409,0.01866359,1.047153422,1265.921354,1265.921354,0,0
12/29/1995,-0.008519453,0.255136397,-0.01866359,0.047153422,0.020324816,0.013084315,0.01866359,0.991480547,1255.136397,1265.921354,-10.78495779,-0.008519453
1/31/1996,0.02026472,0.262813151,-0.01866359,0.047153422,0.020258151,0.013084315,0.01866359,1.02026472,1280.571384,1280.571384,0,0
2/29/1996,0.012366184,0.224285675,-0.01866359,0.047153422,0.018804698,0.013084315,0.01866359,1.012366184,1296.407165,1296.407165,0,0
3/29/1996,0.039621981,0.232443156,-0.01866359,0.047153422,0.019417731,0.013084315,0.01866359,1.039621981,1347.773385,1347.773385,0,0
4/30/1996,0.025485823,0.253169286,-0.01866359,0.047153422,0.019302984,0.013084315,0.01866359,1.025485823,1382.122499,1382.122499,0,0
5/31/1996,0.025866832,0.251155969,-0.01866359,0.047153422,0.019243745,0.013084315,0.01866359,1.025866832,1417.873629,1417.873629,0,0
6/28/1996,0.009354456,0.238941458,-0.01866359,0.047153422,0.019443482,0.013084315,0.01866359,1.009354456,1431.137065,1431.137065,0,0
7/31/1996,-0.048403782,0.14463097,-0.048403782,0.047153422,0.026868162,0.032046677,0.048403782,0.951596218,1361.864619,1431.137065,-69.27244616,-0.048403782
8/30/1996,0.03347004,0.179219327,-0.048403782,0.047153422,0.027416209,0.032046677,0.048403782,1.03347004,1407.446283,1431.137065,-23.69078228,-0.016553818
9/30/1996,0.066589295,0.218570196,-0.048403782,0.066589295,0.031032708,0.032046677,0.048403782,1.066589295,1501.167139,1501.167139,0,0
10/31/1996,0.058918124,0.31490695,-0.048403782,0.066589295,0.030997658,0.026467401,0.048403782,1.058918124,1589.61309,1589.61309,0,0
11/29/1996,0.078709676,0.35453203,-0.048403782,0.078709676,0.034343402,0.026467401,0.048403782,1.078709676,1714.731022,1714.731022,0,0
12/31/1996,-0.016958179,0.343003287,-0.048403782,0.078709676,0.035193575,0.0311087,0.048403782,0.983041821,1685.652306,1714.731022,-29.07871577,-0.016958179
1/31/1997,0.023217849,0.346890575,-0.048403782,0.078709676,0.035164406,0.0311087,0.048403782,1.023217849,1724.789527,1724.789527,0,0
2/28/1997,-0.02382279,0.298743383,-0.048403782,0.078709676,0.037859181,0.034884236,0.048403782,0.97617721,1683.700228,1724.789527,-41.08929932,-0.02382279
3/31/1997,-0.038136046,0.201604496,-0.048403782,0.078709676,0.041201016,0.042756527,0.048403782,0.961863954,1619.490559,1724.789527,-105.2989679,-0.061050329
4/30/1997,0.04455051,0.223943385,-0.048403782,0.078709676,0.041952725,0.042756527,0.048403782,1.04455051,1691.639689,1724.789527,-33.14983778,-0.019219642
5/30/1997,0.065824341,0.271615974,-0.048403782,0.078709676,0.044179573,0.042756527,0.048403782,1.065824341,1802.990756,1802.990756,0,0
6/30/1997,0.053153335,0.326795158,-0.048403782,0.078709676,0.044923115,0.042756527,0.048403782,1.053153335,1898.825729,1898.825729,0,0
7/31/1997,0.091501468,0.521862777,-0.038136046,0.091501468,0.042286349,0.030263755,0.038136046,1.091501468,2072.571071,2072.571071,0,0
8/29/1997,-0.052237899,0.395651355,-0.052237899,0.091501468,0.049459382,0.04448188,0.052237899,0.947762101,1964.304312,2072.571071,-108.2667591,-0.052237899
9/30/1997,0.05002601,0.373977997,-0.052237899,0.091501468,0.048546087,0.04448188,0.052237899,1.05002601,2062.570619,2072.571071,-10.0004521,-0.004825143
10/31/1997,-0.027997703,0.261202107,-0.052237899,0.091501468,0.049960048,0.04448188,0.052237899,0.972002297,2004.823379,2072.571071,-67.74769235,-0.032687754
11/28/1997,0.025166598,0.198600793,-0.052237899,0.091501468,0.046580246,0.04448188,0.052237899,1.025166598,2055.277962,2072.571071,-17.29310842,-0.008343795
12/31/1997,0.036056077,0.263239884,-0.052237899,0.091501468,0.045655325,0.04448188,0.052237899,1.036056077,2129.383223,2129.383223,0,0
