"","vwretd","ewretd","spindx","sprtrn","USGG10YR","t30ret","spTurnover","spTransactionCosts","CompoundAnnualReturn","Min_monthly","Max_monthly","portStdDev_monthly","portVaR","portCVaR","growth_multiplier","wealth_index","peak_wealth_index","drawdown","drawdown_pct"
"1995-01-31",0.026,0.021154,470.42,0.024278,0.077015,0.004156,0,0,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0
"1995-02-28",0.039228,0.044549,487.39,0.036074,0.07391,0.003983,0,0,NA,NA,NA,NA,NA,NA,1.039228,1039.228,1039.228,0,0
"1995-03-31",0.0292638586275,0.029457,500.71,0.027329,0.071985,0.004134,0.028056549,0.0000701413725,NA,NA,NA,NA,NA,NA,1.0292638586275,1069.63982127374,1069.63982127374,0,0
"1995-04-28",0.029395,0.0238,514.71,0.02796,0.071255,0.00445,0,0,NA,NA,NA,NA,NA,NA,1.029395,1101.08188382008,1101.08188382008,0,0
"1995-05-31",0.039809,0.035709,533.4,0.036312,0.066695,0.005355,0,0,NA,NA,NA,NA,NA,NA,1.039809,1144.91485253307,1144.91485253307,0,0
"1995-06-30",0.024063667105,0.025803,544.75,0.021279,0.062435,0.004714,0.036533158,0.000091332895,NA,NA,NA,NA,NA,NA,1.024063667105,1172.465702408,1172.465702408,0,0
"1995-07-31",0.033405,0.033271,562.06,0.031776,0.063145,0.004522,0,0,NA,NA,NA,NA,NA,NA,1.033405,1211.63191919694,1211.63191919694,0,0
"1995-08-31",0.003502,0.00772,561.88,-0.00032,0.06355,0.004637,0,0,NA,NA,NA,NA,NA,NA,1.003502,1215.87505417797,1215.87505417797,0,0
"1995-09-29",0.0420070299125,0.024752,584.41,0.040098,0.06233,0.004309,0.037988035,0.0000949700875,NA,NA,NA,NA,NA,NA,1.0420070299125,1266.95035394868,1266.95035394868,0,0
"1995-10-31",-0.003442,-0.024119,581.5,-0.004979,0.06101,0.004714,0,0,NA,NA,NA,NA,NA,NA,0.996558,1262.58951083039,1266.95035394868,-4.36084311829131,-0.00344199999999996
"1995-11-30",0.044179,0.050988,605.37,0.041049,0.058805,0.004108,0,0,NA,NA,NA,NA,NA,NA,1.044179,1318.36945282937,1318.36945282937,0,0
"1995-12-29",0.017532530235,0.014641,615.93,0.017444,0.056565,0.004882,0.044187906,0.000110469765,0.376362384055172,-0.003442,0.044179,0.0149662069152171,-0.0003772,0.003442,1.017532530235,1341.483805122,1341.483805122,0,0
"1996-01-31",0.034861,0.030677,636.02,0.032617,0.05576,0.004278,0,0,0.388249272052358,-0.003442,0.044179,0.0151258967396764,-0.0003772,0.003442,1.034861,1388.24927205236,1388.24927205236,0,0
"1996-02-29",0.010088,0.012873,640.43,0.006934,0.05839,0.003908,0,0,0.349322699839518,-0.003442,0.044179,0.0154627575387683,-0.0003772,0.003442,1.010088,1402.25393070882,1402.25393070882,0,0
"1996-03-29",0.00948209852,0.019612,645.5,0.007917,0.062125,0.003943,0.041160592,0.00010290148,0.323389623755973,-0.003442,0.044179,0.016055182743687,-0.0003772,0.003442,1.00948209852,1415.55024062986,1415.55024062986,0,0
"1996-04-30",0.015133,0.02841,654.17,0.013431,0.064985,0.004579,0,0,0.305054404705941,-0.003442,0.044179,0.0161262473446419,-0.0003772,0.003442,1.015133,1436.97176242131,1436.97176242131,0,0
"1996-05-31",0.025257,0.013102,669.12,0.022853,0.06761,0.003982,0,0,0.286790327652097,-0.003442,0.044179,0.0152329538920977,-0.0003772,0.003442,1.025257,1473.26535822479,1473.26535822479,0,0
"1996-06-28",0.0040337788625,-0.009331,670.63,0.002257,0.067815,0.004,0.037688455,0.0000942211375,0.261621710424162,-0.003442,0.044179,0.0159860355172079,-0.0003772,0.003442,1.0040337788625,1479.20818488565,1479.20818488565,0,0
"1996-07-31",-0.044444,-0.055912,639.95,-0.045748,0.067525,0.004497,0,0,0.166580571146908,-0.044444,0.044179,0.0237945414772926,0.0218929,0.044444,0.955556,1413.46625631659,1479.20818488565,-65.7419285690578,-0.044444
"1996-08-30",0.021928,0.032975,651.99,0.018814,0.068685,0.004122,0,0,0.188000970512283,-0.044444,0.044179,0.0237074260318383,0.0218929,0.044444,1.021928,1444.4607443851,1479.20818488565,-34.7474405005478,-0.0234905680320002
"1996-09-30",0.055935534335,0.049854,687.31,0.054173,0.06823,0.004375,0.039786266,0.000099465665,0.203880975441909,-0.044444,0.055935534335,0.0254424321524244,0.0218929,0.044444,1.055935534335,1525.25742794821,1525.25742794821,0,0
"1996-10-31",0.026798,0.013655,705.27,0.026131,0.06521,0.004246,0,0,0.24041207618804,-0.044444,0.055935534335,0.0248453947894818,0.017781221625625,0.044444,1.026798,1566.13127650237,1566.13127650237,0,0
"1996-11-29",0.076441,0.070014,757.02,0.073376,0.061915,0.003941,0,0,0.278737089813078,-0.044444,0.076441,0.0292447055998155,0.017781221625625,0.044444,1.076441,1685.84791740949,1685.84791740949,0,0
"1996-12-31",-0.0198982690875,-0.016802,740.74,-0.021505,0.06231,0.004404,0.040107635,0.0001002690875,0.231697658666856,-0.044444,0.076441,0.0315626298141879,0.030943847998125,0.044444,0.9801017309125,1652.30246190827,1685.84791740949,-33.5454555012154,-0.0198982690875
"1997-01-31",0.062827,0.039148,786.16,0.061317,0.06456,0.004014,0,0,0.264982956617283,-0.044444,0.076441,0.0338713894739602,0.030943847998125,0.044444,1.062827,1756.11166868258,1756.11166868258,0,0
"1997-02-28",0.007752,0.013457,790.82,0.005928,0.06523,0.003788,0,0,0.262057468752207,-0.044444,0.076441,0.0339420449251737,0.030943847998125,0.044444,1.007752,1769.72504633821,1769.72504633821,0,0
"1997-03-31",-0.04177816263,-0.035143,757.12,-0.042614,0.067275,0.00431,0.036065052,0.00009016263,0.197971740506612,-0.044444,0.076441,0.0383409009419247,0.0429777894465,0.044444,0.95822183737,1695.78918554191,1769.72504633821,-73.9358607963022,-0.0417781626300001
"1997-04-30",0.060274,0.032138,801.34,0.058406,0.068105,0.004313,0,0,0.251243225462976,-0.044444,0.076441,0.0404239561172451,0.0429777894465,0.044444,1.060274,1798.00118291126,1798.00118291126,0,0
"1997-05-30",0.061401,0.073897,848.28,0.058577,0.066885,0.004263,0,0,0.29535405342234,-0.044444,0.076441,0.04219215914213,0.0429777894465,0.044444,1.061401,1908.4002535432,1908.4002535432,0,0
"1997-06-30",0.0439823314925,0.03882,885.14,0.043453,0.065795,0.003744,0.048267403,0.0001206685075,0.346893673569635,-0.044444,0.076441,0.042169576396201,0.0429777894465,0.044444,1.0439823314925,1992.3361461149,1992.3361461149,0,0
"1997-07-31",0.080388,0.079766,954.29,0.078123,0.062555,0.004294,0,0,0.522849275396263,-0.04177816263,0.080388,0.0384641242166769,0.029744221181625,0.04177816263,1.080388,2152.49606422879,2152.49606422879,0,0
"1997-08-29",-0.054975,-0.028008,899.47,-0.057446,0.06175,0.004058,0,0,0.40825051909856,-0.054975,0.080388,0.046624108682967,0.0477167394465,0.054975,0.945025,2034.16259309781,2152.49606422879,-118.333471130978,-0.054975
"1997-09-30",0.0537597397925,0.051665,947.28,0.053154,0.06221,0.004576,0.050504083,0.0001262602075,0.40534876639274,-0.054975,0.080388,0.0465178873066327,0.0477167394465,0.054975,1.0537597397925,2143.51864479839,2152.49606422879,-8.97741943040228,-0.00417070190259269
"1997-10-31",-0.032605,-0.043194,914.62,-0.034478,0.05967,0.003911,0,0,0.324045595983343,-0.054975,0.080388,0.0498982086324352,0.0477167394465,0.054975,0.967395,2073.62921938473,2152.49606422879,-78.8668448440535,-0.0366397161670586
"1997-11-28",0.046321,0.031342,955.4,0.044587,0.058525,0.003773,0,0,0.286997347773717,-0.054975,0.080388,0.0477767016276717,0.0477167394465,0.054975,1.046321,2169.68179845585,2169.68179845585,0,0
"1997-12-31",0.016998944835,0.015319,970.43,0.015732,0.05808,0.004629,0.059222066,0.000148055165,0.335448049329244,-0.054975,0.080388,0.0459680057753636,0.0477167394465,0.054975,1.016998944835,2206.56409965731,2206.56409965731,0,0
"1998-01-30",0.011994,-0.002326,980.28,0.01015,0.056235,0.004204,0,0,0.271576101503725,-0.054975,0.080388,0.0445210809949985,0.0477167394465,0.054975,1.011994,2233.0296294686,2233.0296294686,0,0
"1998-02-27",0.071956,0.078865,1049.34,0.070449,0.055635,0.003847,0,0,0.352588366446831,-0.054975,0.080388,0.0465780832896859,0.0477167394465,0.054975,1.071956,2393.70950948664,2393.70950948664,0,0
"1998-03-31",0.051226759275,0.050179,1101.75,0.049946,0.05638,0.004485,0.04369629,0.000109240725,0.483870466775781,-0.054975,0.080388,0.041667257819424,0.0426715,0.054975,1.051226759275,2516.33149030339,2516.33149030339,0,0
"1998-04-30",0.011275,0.004209,1111.75,0.009076,0.056625,0.004308,0,0,0.415295580471348,-0.054975,0.080388,0.0412817578875036,0.0426715,0.054975,1.011275,2544.70312785656,2544.70312785656,0,0
"1998-05-29",-0.017674,-0.024932,1090.82,-0.018826,0.056115,0.003805,0,0,0.309855225670691,-0.054975,0.080388,0.0421409321574467,0.0426715,0.054975,0.982326,2499.72804477483,2544.70312785656,-44.975083081737,-0.017674
"1998-06-30",0.04084559821,0.010836,1133.84,0.039438,0.05499,0.004021,0.049760716,0.00012440179,0.305919654772911,-0.054975,0.080388,0.0420122302464748,0.0426715,0.054975,1.04084559821,2601.83093212597,2601.83093212597,0,0
"1998-07-31",-0.010109,-0.04445,1120.67,-0.011615,0.0547,0.003873,0,0,0.196531350758072,-0.054975,0.071956,0.0388336857158327,0.0426715,0.054975,0.989891,2575.52902323311,2601.83093212597,-26.3019088928613,-0.010109
"1998-08-31",-0.143124,-0.148456,957.28,-0.145797,0.05235,0.004012,0,0,0.0849226186737642,-0.143124,0.071956,0.0573507665344529,0.08233855,0.143124,0.856876,2206.90900731189,2601.83093212597,-394.921924814077,-0.151786159484
"1998-09-30",0.06297514263,0.060341,1017.01,0.062396,0.04698,0.003875,0.080342948,0.00020085737,0.0944105489875213,-0.143124,0.071956,0.0580704728388663,0.08233855,0.143124,1.06297514263,2345.88941681879,2601.83093212597,-255.941515307179,-0.0983697718967649
"1998-10-30",0.080111,0.08884,1098.67,0.080294,0.045125,0.003353,0,0,0.2219257619457,-0.143124,0.080111,0.0597889862479962,0.0741265,0.143124,1.080111,2533.82096388956,2601.83093212597,-68.0099682364089,-0.0261392726931867
"1998-11-30",0.062164,0.05071,1163.63,0.059126,0.046595,0.003233,0,0,0.240427703363779,-0.143124,0.080111,0.0606266283856685,0.0741265,0.143124,1.062164,2691.33341028879,2691.33341028879,0,0
"1998-12-31",0.0595027663625,0.029082,1229.23,0.056375,0.04681,0.003779,0.068093455,0.0001702336375,0.292269367496572,-0.143124,0.080111,0.0616751174296268,0.0741265,0.143124,1.0595027663625,2851.47519340479,2851.47519340479,0,0
"1999-01-29",0.0428,0.010847,1279.64,0.041009,0.046495,0.003494,0,0,0.331607199672552,-0.143124,0.080111,0.0617969091553422,0.0741265,0.143124,1.0428,2973.51833168252,2973.51833168252,0,0
"1999-02-26",-0.031935,-0.019371,1238.33,-0.032283,0.04969,0.003372,0,0,0.202551526136343,-0.143124,0.080111,0.0620495583693967,0.08197005,0.143124,0.968065,2878.55902376024,2973.51833168252,-94.9593079222814,-0.031935
"1999-03-31",0.0388145782475,0.021855,1286.37,0.038794,0.052645,0.004076,0.065768701,0.0001644217525,0.188352603681596,-0.143124,0.080111,0.0615346068256526,0.08197005,0.143124,1.0388145782475,2990.28907822803,2990.28907822803,0,0
"1999-04-30",0.037559,0.096934,1335.18,0.037944,0.05295,0.003784,0,0,0.219239019181996,-0.143124,0.080111,0.0618065222056526,0.08197005,0.143124,1.037559,3102.60134571719,3102.60134571719,0,0
"1999-05-28",-0.023159,-0.001112,1301.84,-0.02497,0.05485,0.003463,0,0,0.212431171257566,-0.143124,0.080111,0.0621178140516446,0.08197005,0.143124,0.976841,3030.74820115173,3102.60134571719,-71.8531445654644,-0.023159
"1999-06-30",0.0542842534675,0.041249,1372.71,0.054438,0.05701,0.004098,0.058698613,0.0001467465325,0.228085216931582,-0.143124,0.080111,0.0626849482155452,0.08197005,0.143124,1.0542842534675,3195.27010469922,3195.27010469922,0,0
"1999-07-30",-0.03022,-0.034555,1328.72,-0.032046,0.058415,0.003658,0,0,0.203134973119171,-0.143124,0.080111,0.0637974879844973,0.08197005,0.143124,0.96978,3098.70904213521,3195.27010469922,-96.5610625640106,-0.0302200000000001
"1999-08-31",-0.005004,-0.022233,1320.41,-0.006254,0.059365,0.003876,0,0,0.397068520665397,-0.031935,0.080111,0.0403317438179522,0.03099175,0.031935,0.994996,3083.20310208836,3195.27010469922,-112.067002610855,-0.03507277912
"1999-09-30",-0.02822020769,-0.039403,1282.71,-0.028552,0.059235,0.003705,0.056483076,0.00014120769,0.277210446799344,-0.031935,0.080111,0.0419071564944274,0.03099175,0.031935,0.97177979231,2996.19447019698,3195.27010469922,-199.075634502241,-0.0623032256989681
"1999-10-29",0.064238,0.03097,1362.93,0.062539,0.059505,0.003581,0,0,0.258440930127404,-0.031935,0.064238,0.0400966476477351,0.03099175,0.031935,1.064238,3188.66401057349,3195.27010469922,-6.60609412572785,-0.00206746031141856
"1999-11-30",0.020822,-0.001732,1388.91,0.019062,0.061075,0.003811,0,0,0.209459355781703,-0.031935,0.064238,0.0378649222544442,0.03099175,0.031935,1.020822,3255.05837260165,3255.05837260165,0,0
"1999-12-31",0.0623541893625,0.044205,1469.25,0.057844,0.063165,0.003764,0.089924255,0.0002248106375,0.212714354573712,-0.031935,0.064238,0.0381662183325052,0.03099175,0.031935,1.0623541893625,3458.02489875285,3458.02489875285,0,0
"2000-01-31",-0.04963,-0.057249,1394.46,-0.050904,0.065535,0.004343,0,0,0.105223764054679,-0.04963,0.064238,0.0416255708779673,0.03989775,0.04963,0.95037,3286.40312302774,3458.02489875285,-171.621775725103,-0.0496299999999998
"2000-02-29",-0.017458,-0.045099,1366.42,-0.020108,0.06537,0.004295,0,0,0.12175191498692,-0.04963,0.064238,0.0405214447384438,0.0389545,0.04963,0.982542,3229.02909730593,3458.02489875285,-228.995801446921,-0.0662215594599997
"2000-03-31",0.0982750272825,0.109941,1498.58,0.09672,0.062065,0.004377,0.085189087,0.0002129727175,0.185959593592583,-0.04963,0.0982750272825,0.0473728152811321,0.0389545,0.04963,1.0982750272825,3546.36201993965,3546.36201993965,0,0
"2000-04-28",-0.031583,0.008074,1452.43,-0.030796,0.06108,0.004595,0,0,0.106928311303886,-0.04963,0.0982750272825,0.0486106685443972,0.03970415,0.04963,0.968417,3434.3572682639,3546.36201993965,-112.004751675754,-0.031583
"2000-05-31",-0.022304,0.016657,1420.6,-0.021915,0.06242,0.004782,0,0,0.107897172875181,-0.04963,0.0982750272825,0.0485589535148402,0.03970415,0.04963,0.977696,3357.75736375254,3546.36201993965,-188.604656187112,-0.0531825727679999
"2000-06-30",0.0260315018525,-0.019605,1454.6,0.023934,0.061515,0.003744,0.074999259,0.0001874981475,0.0782077001003996,-0.04963,0.0982750272825,0.0468519460736349,0.03970415,0.04963,1.0260315018525,3445.16483078731,3546.36201993965,-101.197189152343,-0.028535493157031
"2000-07-31",-0.012795,0.003866,1430.83,-0.016341,0.06031,0.004772,0,0,0.0975809282286859,-0.04963,0.0982750272825,0.0458433858568641,0.03970415,0.04963,0.987205,3401.08394677738,3546.36201993965,-145.278073162266,-0.0409653815220868
"2000-08-31",0.062594,0.074144,1517.68,0.060699,0.05878,0.005002,0,0,0.172148339139285,-0.04963,0.0982750272825,0.0481003407048102,0.03970415,0.04963,1.062594,3613.97139534197,3613.97139534197,0,0
"2000-09-29",-0.052309111745,-0.013813,1436.51,-0.053483,0.057635,0.005093,0.088444698,0.000221111745,0.143092611593608,-0.052309111745,0.0982750272825,0.0504826061352171,0.05083560028525,0.052309111745,0.947690888255,3424.92776177979,3613.97139534197,-189.043633562176,-0.0523091117449999
"2000-10-31",-0.00412,0.021097,1429.4,-0.004949,0.057765,0.005217,0,0,0.0696696322005443,-0.052309111745,0.0982750272825,0.0478855922732595,0.05083560028525,0.052309111745,0.99588,3410.81705940126,3613.97139534197,-203.154335940709,-0.0562135982046106
