Ticker,Weight
AAPL,0.002
ABBV,0.001
ADBE,0.001
AJG,0.002
ALB,0.002
AMAT,0.009
AMD,0.041
AMP,0.001
APA,0.057
AVGO,0.005
AZO,0.003
CMG,0.006
TPR,0.001
CRM,0.001
DHI,0.008
DVA,0.001
DVN,0.027
EFX,0.004
EQT,0.035
EXPE,0.001
F,0.001
FCX,0.02
FSLR,0.02
GE,0.007
GIS,0.001
HAL,0.007
HES,0.007
HIG,0.001
KLAC,0.012
LEN,0.008
LLY,0.021
LRCX,0.012
MCK,0.001
MPC,0.007
MRO,0.024
NEM,0.001
NFLX,0.002
NOC,0.001
NRG,0.001
NUE,0.012
NVDA,0.067
OKE,0.003
OXY,0.011
PCG,0.005
PGR,0.001
PHM,0.006
PWR,0.015
LIN,0.001
PXD,0.001
QCOM,0.004
RCL,0.006
REGN,0.001
SLB,0.001
STX,0.002
TDG,0.002
TER,0.003
UNH,1.38777878078145e-18
URI,0.013
VLO,0.002
VRTX,0.003
WDC,0.002
SNPS,0.013
IT,0.002
ALGN,0.003
CDNS,0.011
MGM,0.004
NCLH,0.001
MSCI,0.003
CPRT,0.001
ANET,0.021
ROL,0.001
FTNT,0.013
FANG,0.009
LW,0.001
NOW,0.001
ODFL,0.003
PAYC,0.002
WST,0.001
DXCM,0.022
ETSY,0.008
CTLT,0.002
TSLA,0.072
ENPH,0.085
MPWR,0.006
GNRC,0.012
CZR,0.015
MTCH,0.001
EPAM,0.011
MOH,0.002
ON,0.016
TRGP,0.042
ACGL,0.004
STLD,0.012
FICO,0.022
PODD,0.005
PANW,0.016
LULU,0.005
HUBB,0.001
SEDG,0.028
