Ticker,Weight
AAPL,0.005
ADBE,0.0015
AJG,0.0015
ALB,0.006
AMAT,0.01275
AMD,0.031
AMP,0.0015
APA,0.03525
AVGO,0.011
AZO,0.00175
BIIB,0.00075
CAH,0.00525
CF,0.00325
CMG,0.0165
COP,0.00125
CRM,0.001
DFS,0.0005
DHI,0.009
DLTR,0.00075
DVA,0.00075
DVN,0.02425
EOG,0.0015
EQIX,0.00075
EQT,0.02725
EXPE,0.00225
F,0.0015
FCX,0.01425
FSLR,0.01425
GE,0.00975
GILD,0.00075
GWW,0.00225
HAL,0.00525
HCA,0.001
HES,0.01
HUM,0.00075
IDXX,0.001
KLAC,0.019
KMX,0.001
LEN,0.0105
LLY,0.02
LOW,0.00075
LRCX,0.0245
MCHP,0.0015
MCK,0.0045
MNST,0.00075
MOS,0.0005
MPC,0.00675
MRO,0.0195
MSFT,0.00075
MU,0.00175
NEM,0.0015
NFLX,0.00075
NOC,0.00075
NRG,0.00025
NUE,0.014
NVDA,0.05775
OKE,0.003
ORLY,0.0005
OXY,0.01275
PCG,0.00475
PGR,0.00225
PHM,0.01525
PWR,0.01575
QCOM,0.00825
RCL,0.0105
REGN,0.00325
SLB,0.00075
STX,0.00075
TDG,0.00375
TER,0.0045
TGT,0.0015
URI,0.02075
VLO,0.0035
VRTX,0.003
VTR,0.00075
WDC,0.00325
SNPS,0.01225
ALGN,0.00375
CDNS,0.01625
MGM,0.0015
NCLH,0.00075
CPRT,0.00275
ANET,0.017
FTNT,0.0085
FANG,0.01275
MKTX,0.00075
NOW,0.00375
ODFL,0.00525
PAYC,0.00075
IR,0.00025
WST,0.00375
DXCM,0.01725
DPZ,0.0015
ETSY,0.00925
CTLT,0.00075
POOL,0.00075
TSLA,0.05475
ENPH,0.06575
MPWR,0.01575
GNRC,0.01075
CZR,0.0175
MTCH,0.0015
BRO,0.00075
EPAM,0.0075
MOH,0.00225
ON,0.0185
CSGP,0.00025
TRGP,0.03325
ACGL,0.0055
STLD,0.014
FICO,0.01625
PODD,0.00625
PANW,0.022
LULU,0.00725
HUBB,0.001
SEDG,0.01125
