gamma,terminalWealth,terminalWealthWihTransactionCosts
2,-0.001807841,
3,0.000148599,
4,5.29E-05,
5,0.128694497,
6,-1.541470551,
7,74.18944767,
8,500.1365151,
9,1452.65992,
10,2875.237159,946.6835834
11,4593.089198,
12,6428.925725,
13,8250.805373,
14,9976.890786,
15,11564.56273,
16,12997.51435,
17,14275.38401,
18,15406.58154,
19,16403.7219,
20,17280.89106,
21,18052.10449,
22,18730.50491,
23,19328.00051,
24,19855.15546,
25,20321.2177,12750.34324
26,20734.21526,
27,21101.08149,
28,21427.78693,
29,21719.46611,
30,21980.53352,
31,22214.7867,
32,22425.49618,
33,22615.48298,
34,22787.18485,
35,22942.71271,
36,23083.89847,
37,23212.33558,
38,23329.4133,
39,23436.34579,
40,23534.19667,
41,23623.89993,
42,23706.27767,
43,23782.05515,
44,23851.87368,
45,23916.30163,
46,23975.84377,
47,24030.94941,
48,24082.01929,
49,24129.41156,
50,24173.44696,17579.54024
51,24214.41327,
52,24252.56917,
53,24288.14763,
54,24321.35882,
55,24352.39267,
56,24381.42111,
57,24408.60003,
58,24434.07099,
59,24457.96274,
60,24480.39256,
61,24501.46743,
62,24521.28508,
63,24539.93487,
64,24557.4987,
65,24574.05163,
66,24589.66262,
67,24604.39506,
68,24618.30729,
69,24631.45307,
70,24643.88202,
71,24655.63995,
72,24666.7692,
73,24677.30899,
74,24687.29562,
75,24696.76279,18557.41611
76,24705.74174,
77,24714.26153,
78,24722.34917,
79,24730.02979,
80,24737.32682,
81,24744.26209,
82,24750.85597,
83,24757.12751,
84,24763.09447,
85,24768.77349,
86,24774.18015,
87,24779.32901,
88,24784.23376,
89,24788.90722,
90,24793.36141,
91,24797.60764,
92,24801.65655,
93,24809.20173,
94,24809.20173,
95,24812.71626,
96,24816.07005,
97,24819.27096,
98,24822.3264,
99,24825.24338,
100,24828.02851,18880.43043
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
