,portRet,turnover,CompoundAnnualReturn,Min_monthly,Max_monthly,portStdDev_monthly,portVaR,portCVaR,growth_multiplier,wealth_index,peak_wealth_index,drawdown,drawdown_pct
12/30/1994,0.008447975,0,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0
1/31/1995,0.01872117,0.350551341,NA,NA,NA,NA,NA,NA,1.01872117,1018.72117,1018.72117,0,0
2/28/1995,0.045652785,0.35130624,NA,NA,NA,NA,NA,NA,1.045652785,1065.228629,1065.228629,0,0
3/31/1995,0.027617532,0.340151905,NA,NA,NA,NA,NA,NA,1.027617532,1094.647614,1094.647614,0,0
4/28/1995,0.023958798,0.344073794,NA,NA,NA,NA,NA,NA,1.023958798,1120.874056,1120.874056,0,0
5/31/1995,0.033059484,0.32549833,NA,NA,NA,NA,NA,NA,1.033059484,1157.929574,1157.929574,0,0
6/30/1995,0.025387965,0.31030834,NA,NA,NA,NA,NA,NA,1.025387965,1187.32705,1187.32705,0,0
7/31/1995,0.034027094,0.316078075,NA,NA,NA,NA,NA,NA,1.034027094,1227.728339,1227.728339,0,0
8/31/1995,0.007571937,0.341062956,NA,NA,NA,NA,NA,NA,1.007571937,1237.024621,1237.024621,0,0
9/29/1995,0.022452719,0.320443245,NA,NA,NA,NA,NA,NA,1.022452719,1264.799188,1264.799188,0,0
10/31/1995,-0.024366706,0.333474553,NA,NA,NA,NA,NA,NA,0.975633294,1233.980198,1264.799188,-30.81898981,-0.024366706
11/30/1995,0.049575915,0.336726191,0.30609734,-0.024366706,0.049575915,0.019495681,0.006800452,0.024366706,1.049575915,1295.155895,1295.155895,0,0
12/29/1995,0.013060608,0.347682868,0.312071419,-0.024366706,0.049575915,0.019233369,0.006800452,0.024366706,1.013060608,1312.071419,1312.071419,0,0
1/31/1996,0.029580206,0.345913909,0.326057415,-0.024366706,0.049575915,0.019266103,0.006800452,0.024366706,1.029580206,1350.882762,1350.882762,0,0
2/29/1996,0.012451027,0.341283761,0.283952198,-0.024366706,0.049575915,0.018224232,0.006800452,0.024366706,1.012451027,1367.702639,1367.702639,0,0
3/29/1996,0.020460001,0.331463755,0.275009252,-0.024366706,0.049575915,0.018111812,0.006800452,0.024366706,1.020460001,1395.685836,1395.685836,0,0
4/30/1996,0.024310311,0.323728852,0.275446947,-0.024366706,0.049575915,0.018118018,0.006800452,0.024366706,1.024310311,1429.615393,1429.615393,0,0
5/31/1996,0.016542073,0.333386301,0.255054045,-0.024366706,0.049575915,0.017710811,0.006800452,0.024366706,1.016542073,1453.264196,1453.264196,0,0
6/28/1996,-0.016775352,0.316775005,0.203447001,-0.024366706,0.049575915,0.020366596,0.020191461,0.024366706,0.983224648,1428.885178,1453.264196,-24.37901808,-0.016775352
