,portRet,turnover,portTransactionCost,CompoundAnnualReturn,Min_monthly,Max_monthly,portStdDev_monthly,portVaR,portCVaR,growth_multiplier,wealth_index,peak_wealth_index,drawdown,drawdown_pct,monthly_Rf,portSR,monthly_Rm,Rp_minus_Rm,portIR,portBeta,portTR
12/30/1994,-0.0081981,0,0,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0,0.00443,NA,0.01486249,-0.02306059,NA,NA,NA
1/31/1995,0.0302235,1.38778E-16,3.46945E-19,NA,NA,NA,NA,NA,NA,1.0302235,1030.2235,1030.2235,0,0,0.004156,NA,0.026,0.0042235,NA,NA,NA
2/28/1995,0.0290212,0.2,0.0005,NA,NA,NA,NA,NA,NA,1.0290212,1060.121822,1060.121822,0,0,0.003983,NA,0.039228,-0.0102068,NA,NA,NA
3/31/1995,0.0394925,0.05,0.000125,NA,NA,NA,NA,NA,NA,1.0394925,1101.988683,1101.988683,0,0,0.004134,NA,0.029263859,0.010228641,NA,NA,NA
4/28/1995,0.0465821,0.15,0.000375,NA,NA,NA,NA,NA,NA,1.0465821,1153.32163,1153.32163,0,0,0.00445,NA,0.029395,0.0171871,NA,NA,NA
5/31/1995,0.0571384,0,0,NA,NA,NA,NA,NA,NA,1.0571384,1219.220583,1219.220583,0,0,0.005355,NA,0.039809,0.0173294,NA,NA,NA
6/30/1995,0.1058499,1.38778E-16,3.46945E-19,NA,NA,NA,NA,NA,NA,1.1058499,1348.27496,1348.27496,0,0,0.004714,NA,0.024063667,0.081786233,NA,NA,NA
7/31/1995,0.0746369,0.1,0.00025,NA,NA,NA,NA,NA,NA,1.0746369,1448.906023,1448.906023,0,0,0.004522,NA,0.033405,0.0412319,NA,NA,NA
8/31/1995,0.022079,0.1,0.00025,NA,NA,NA,NA,NA,NA,1.022079,1480.896419,1480.896419,0,0,0.004637,NA,0.003502,0.018577,NA,NA,NA
9/29/1995,0.009236,0.1,0.00025,NA,NA,NA,NA,NA,NA,1.009236,1494.573979,1494.573979,0,0,0.004309,NA,0.04200703,-0.03277103,NA,NA,NA
10/31/1995,-0.0461075,0.15,0.000375,NA,NA,NA,NA,NA,NA,0.9538925,1425.662909,1494.573979,-68.91106972,-0.0461075,0.004714,NA,-0.003442,-0.0426655,NA,NA,NA
11/30/1995,0.0410817,0.15,0.000375,0.472063686,-0.0461075,0.1058499,0.038818979,0.02525733,0.0461075,1.0410817,1484.231565,1494.573979,-10.34241379,-0.006919974,0.004108,0.746034567,0.044179,-0.0030973,0.194899555,NA,NA
12/29/1995,-0.0870817,0.05,0.000125,0.354982157,-0.0870817,0.1058499,0.051209044,0.06454589,0.0870817,0.9129183,1354.982157,1494.573979,-139.5918216,-0.093399071,0.004882,0.436426816,0.01753253,-0.10461423,-0.005042483,NA,NA
1/31/1996,0.006463,0.15,0.000375,0.323731604,-0.0870817,0.1058499,0.051524963,0.06454589,0.0870817,1.006463,1363.739407,1494.573979,-130.834572,-0.08753971,0.004278,0.395124816,0.034861,-0.028398,-0.063061849,NA,NA
2/29/1996,0.0384431,0.1,0.00025,0.335851925,-0.0870817,0.1058499,0.051665634,0.06454589,0.0870817,1.0384431,1416.165777,1494.573979,-78.40820158,-0.052461907,0.003908,0.409366889,0.010088,0.0283551,0.005516962,NA,NA
3/29/1996,0.0108132,0.1,0.00025,0.298996153,-0.0870817,0.1058499,0.051630464,0.06454589,0.0870817,1.0108132,1431.479061,1494.573979,-63.09491781,-0.042215988,0.003943,0.363664654,0.009482099,0.001331101,-0.01009099,NA,NA
4/30/1996,0.0919369,0.15,0.000375,0.355289597,-0.0870817,0.1058499,0.055040334,0.06454589,0.0870817,1.0919369,1563.084808,1563.084808,0,0,0.004579,0.409608557,0.015133,0.0768039,0.085742158,NA,NA
5/31/1996,0.0261727,1.38778E-16,3.46945E-19,0.315590452,-0.0870817,0.1058499,0.054220761,0.06454589,0.0870817,1.0261727,1603.994958,1603.994958,0,0,0.003982,0.370318178,0.025257,0.0009157,0.059789931,NA,NA
6/28/1996,-0.0381593,0.2,0.0005,0.144267808,-0.0870817,0.0919369,0.050369107,0.06454589,0.0870817,0.9618407,1542.787633,1603.994958,-61.20732479,-0.0381593,0.004,0.161560669,0.004033779,-0.042193079,-0.152590189,NA,NA
7/31/1996,-0.065174,0.1,0.00025,-0.004602114,-0.0870817,0.0919369,0.05084694,0.075032465,0.0870817,0.934826,1442.237992,1603.994958,-161.756966,-0.100846306,0.004497,-0.069053484,-0.044444,-0.02073,-0.276200841,NA,NA
8/30/1996,0.0534113,0.1,0.00025,0.025912264,-0.0870817,0.0919369,0.052805242,0.075032465,0.0870817,1.0534113,1519.269798,1603.994958,-84.72515993,-0.052821338,0.004122,-0.016233553,0.021928,0.0314833,-0.246928179,NA,NA
