,portRet,turnover,portTransactionCost,CompoundAnnualReturn,Min_monthly,Max_monthly,portStdDev_monthly,portVaR,portCVaR,growth_multiplier,wealth_index,peak_wealth_index,drawdown,drawdown_pct,monthly_Rf,portSR,monthly_Rm,Rp_minus_Rm,portIR,portBeta,portTR
12/30/1994,-0.00314765,0,0,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0,0.00443,NA,0.01486249,-0.01801014,NA,NA,NA
1/31/1995,0.037913,0.025,6.25E-05,NA,NA,NA,NA,NA,NA,1.037913,1037.913,1037.913,0,0,0.004156,NA,0.026,0.011913,NA,NA,NA
2/28/1995,0.00545275,0.025,6.25E-05,NA,NA,NA,NA,NA,NA,1.00545275,1043.57248,1043.57248,0,0,0.003983,NA,0.039228,-0.03377525,NA,NA,NA
3/31/1995,0.036827575,0.0375,0.00009375,NA,NA,NA,NA,NA,NA,1.036827575,1082.004724,1082.004724,0,0,0.004134,NA,0.029263859,0.007563716,NA,NA,NA
4/28/1995,0.039183675,0.05,0.000125,NA,NA,NA,NA,NA,NA,1.039183675,1124.401645,1124.401645,0,0,0.00445,NA,0.029395,0.009788675,NA,NA,NA
5/31/1995,0.04214565,0.15,0.000375,NA,NA,NA,NA,NA,NA,1.04214565,1171.790284,1171.790284,0,0,0.005355,NA,0.039809,0.00233665,NA,NA,NA
6/30/1995,0.09243565,0.15,0.000375,NA,NA,NA,NA,NA,NA,1.09243565,1280.10548,1280.10548,0,0,0.004714,NA,0.024063667,0.068371983,NA,NA,NA
7/31/1995,0.0673924,0.05,0.000125,NA,NA,NA,NA,NA,NA,1.0673924,1366.374861,1366.374861,0,0,0.004522,NA,0.033405,0.0339874,NA,NA,NA
8/31/1995,0.022608475,0.15,0.000375,NA,NA,NA,NA,NA,NA,1.022608475,1397.266512,1397.266512,0,0,0.004637,NA,0.003502,0.019106475,NA,NA,NA
9/29/1995,0.021384325,0.15,0.000375,NA,NA,NA,NA,NA,NA,1.021384325,1427.146114,1427.146114,0,0,0.004309,NA,0.04200703,-0.020622705,NA,NA,NA
10/31/1995,-0.05074635,0.1125,0.00028125,NA,NA,NA,NA,NA,NA,0.94925365,1354.723658,1427.146114,-72.42245619,-0.05074635,0.004714,NA,-0.003442,-0.04730435,NA,NA,NA
11/30/1995,0.025342675,0.1875,0.00046875,0.384683717,-0.05074635,0.09243565,0.035630004,0.024567065,0.05074635,1.025342675,1389.055979,1427.146114,-38.09013482,-0.026689723,0.004108,0.662550625,0.044179,-0.018836325,0.038329787,NA,NA
12/29/1995,-0.07786165,0.1125,0.00028125,0.280901788,-0.07786165,0.09243565,0.046461777,0.062948235,0.07786165,0.92213835,1280.901788,1427.146114,-146.2443253,-0.102473267,0.004882,0.373271298,0.01753253,-0.09539418,-0.124665729,NA,NA
1/31/1996,0.011094075,0.1875,0.00046875,0.247804208,-0.07786165,0.09243565,0.046262936,0.062948235,0.07786165,1.011094075,1295.112209,1427.146114,-132.0339048,-0.092516038,0.004278,0.326347009,0.034861,-0.023766925,-0.195708877,NA,NA
2/29/1996,0.055267775,0.025,6.25E-05,0.309626504,-0.07786165,0.09243565,0.047104922,0.062948235,0.07786165,1.055267775,1366.690179,1427.146114,-60.45593461,-0.042361419,0.003908,0.408774116,0.010088,0.045179775,-0.037322185,NA,NA
3/29/1996,0.01696655,0.075,0.0001875,0.28453986,-0.07786165,0.09243565,0.046952565,0.062948235,0.07786165,1.01696655,1389.878196,1427.146114,-37.26791735,-0.026113596,0.003943,0.375189388,0.009482099,0.007484451,-0.037474492,NA,NA
4/30/1996,0.100941675,0.1375,0.00034375,0.360879216,-0.07786165,0.100941675,0.05209795,0.062948235,0.07786165,1.100941675,1530.17483,1530.17483,0,0,0.004579,0.436713037,0.015133,0.085808675,0.092945099,NA,NA
5/31/1996,0.014835175,0.1,0.00025,0.325216007,-0.07786165,0.100941675,0.05198437,0.062948235,0.07786165,1.014835175,1552.875241,1552.875241,0,0,0.003982,0.396088243,0.025257,-0.010421825,0.071634663,NA,NA
