,portRet,turnover,portTransactionCost,CompoundAnnualReturn,Min_monthly,Max_monthly,portStdDev_monthly,portVaR,portCVaR,growth_multiplier,wealth_index,peak_wealth_index,drawdown,drawdown_pct,monthly_Rf,portSR,monthly_Rm,Rp_minus_Rm,portIR,portBeta,portTR
12/30/1994,0.024543518,0,0,NA,NA,NA,NA,NA,NA,1,1000,1000,0,0,0.00443,NA,0.01486249,0.009681029,NA,NA,NA
1/31/1995,0.036030861,0.857607662,0.002144019,NA,NA,NA,NA,NA,NA,1.036030861,1036.030861,1036.030861,0,0,0.004156,NA,0.026,0.010030861,NA,NA,NA
2/28/1995,0.030161005,1.046235395,0.002615588,NA,NA,NA,NA,NA,NA,1.030161005,1067.278593,1067.278593,0,0,0.003983,NA,0.039228,-0.009066995,NA,NA,NA
3/31/1995,0.028260534,0.81327715,0.002033193,NA,NA,NA,NA,NA,NA,1.028260534,1097.440456,1097.440456,0,0,0.004134,NA,0.029263859,-0.001003325,NA,NA,NA
4/28/1995,-0.013783386,0.817584322,0.002043961,NA,NA,NA,NA,NA,NA,0.986216614,1082.314011,1097.440456,-15.12644554,-0.013783386,0.00445,NA,0.029395,-0.043178386,NA,NA,NA
5/31/1995,0.01604274,0.853621142,0.002134053,NA,NA,NA,NA,NA,NA,1.01604274,1099.677293,1099.677293,0,0,0.005355,NA,0.039809,-0.02376626,NA,NA,NA
6/30/1995,0.046886819,0.328495282,0.000821238,NA,NA,NA,NA,NA,NA,1.046886819,1151.237664,1151.237664,0,0,0.004714,NA,0.024063667,0.022823152,NA,NA,NA
7/31/1995,0.035427173,0.944948961,0.002362372,NA,NA,NA,NA,NA,NA,1.035427173,1192.02276,1192.02276,0,0,0.004522,NA,0.033405,0.002022173,NA,NA,NA
8/31/1995,0.001912421,0.814397919,0.002035995,NA,NA,NA,NA,NA,NA,1.001912421,1194.30241,1194.30241,0,0,0.004637,NA,0.003502,-0.001589579,NA,NA,NA
9/29/1995,0.054962007,0.905127014,0.002262818,NA,NA,NA,NA,NA,NA,1.054962007,1259.943668,1259.943668,0,0,0.004309,NA,0.04200703,0.012954977,NA,NA,NA
10/31/1995,0.01380283,1.343118408,0.003357796,NA,NA,NA,NA,NA,NA,1.01380283,1277.334457,1277.334457,0,0,0.004714,NA,-0.003442,0.01724483,NA,NA,NA
11/30/1995,0.03333,0.876367659,0.002190919,0.352303201,-0.013783386,0.054962007,0.018954581,0.005150692,0.013783386,1.03333,1319.908014,1319.908014,0,0,0.004108,1.116988197,0.044179,-0.010849,-0.065899757,NA,NA
12/29/1995,-0.101880847,0.559416622,0.001398542,0.185434668,-0.101880847,0.054962007,0.041427148,0.053427243,0.101880847,0.898119153,1185.434668,1319.908014,-134.4733462,-0.101880847,0.004882,0.25584704,0.01753253,-0.119413377,-0.31166337,NA,NA
1/31/1996,0.031304646,1.42478764,0.003561969,0.180026896,-0.101880847,0.054962007,0.041232032,0.053427243,0.101880847,1.031304646,1222.544281,1319.908014,-97.36373344,-0.073765545,0.004278,0.247259105,0.034861,-0.003556354,-0.345704017,NA,NA
2/29/1996,-0.005110541,0.89674579,0.002241864,0.139624111,-0.101880847,0.054962007,0.041286999,0.053427243,0.101880847,0.994889459,1216.296418,1319.908014,-103.611596,-0.078499104,0.003908,0.175889506,0.010088,-0.015198541,-0.359345134,NA,NA
3/29/1996,0.052762511,0.649302689,0.001623257,0.166779722,-0.101880847,0.054962007,0.042756762,0.053427243,0.101880847,1.052762511,1280.471271,1319.908014,-39.43674328,-0.029878403,0.003943,0.21797015,0.009482099,0.043280412,-0.240768728,NA,NA
